Mês;Média Compra;Média Venda
5.5335;5.5341;Janeiro
5.1960;5.1966;Fevereiro
4.9678;4.9684;Março
4.7574;4.7580;Abril
4.9544;4.9550;Maio
5.0486;5.0492;Junho
5.3675;5.3681;Julho
5.1427;5.1433;Agosto
5.2364;5.2370;Setembro
5.2497;5.2503;Outubro
5.2741;5.2747;Novembro
5.2418;5.2424;Dezembro
