Mês;Média Compra;Média Venda
5.2001;5.2007;Janeiro
5.1711;5.1717;Fevereiro
5.2109;5.2115;Março
5.0191;5.0197;Abril
4.9822;4.9828;Maio
4.8510;4.8516;Junho
4.8002;4.8008;Julho
4.9029;4.9035;Agosto
4.9364;4.9370;Setembro
5.0642;5.0648;Outubro
4.8977;4.8983;Novembro
4.8966;4.8972;Dezembro
