Mês;Média Compra;Média Venda
4.1489;4.1495;Janeiro
4.3404;4.3410;Fevereiro
4.8832;4.8839;Março
5.3250;5.3256;Abril
5.6429;5.6434;Maio
5.1960;5.1966;Junho
5.2796;5.2802;Julho
5.4606;5.4612;Agosto
5.3989;5.3995;Setembro
5.6252;5.6258;Outubro
5.4172;5.4178;Novembro
5.1449;5.1456;Dezembro
