Mês;Média Compra;Média Venda
5.3556;5.3562;Janeiro
5.4159;5.4165;Fevereiro
5.6455;5.6461;Março
5.5615;5.5621;Abril
5.2904;5.2911;Maio
5.0313;5.0319;Junho
5.1560;5.1567;Julho
5.2511;5.2517;Agosto
5.2791;5.2797;Setembro
5.5394;5.5400;Outubro
5.5563;5.5569;Novembro
5.6506;5.6514;Dezembro
