Mês;Média Compra;Média Venda
6.0212;6.0218;Janeiro
5.7650;5.7656;Fevereiro
5.7462;5.7468;Março
5.7785;5.7791;Abril
5.6668;5.6674;Maio
5.5465;5.5471;Junho
5.4433;5.4439;Julho
