cotacaoCompra;cotacaoVenda;dataHoraCotacao
4.0207,4.0213,02-01-2020
4.0516,4.0522,03-01-2020
4.0548,4.0554,06-01-2020
4.0835,4.0841,07-01-2020
4.0666,4.0672,08-01-2020
4.0738,4.0744,09-01-2020
4.0739,4.0745,10-01-2020
4.1303,4.1309,13-01-2020
4.1437,4.1443,14-01-2020
4.1616,4.1622,15-01-2020
4.1720,4.1726,16-01-2020
4.1831,4.1837,17-01-2020
4.1823,4.1829,20-01-2020
4.2008,4.2014,21-01-2020
4.1883,4.1889,22-01-2020
4.1656,4.1662,23-01-2020
4.1763,4.1769,24-01-2020
4.2190,4.2196,27-01-2020
4.2058,4.2064,28-01-2020
4.2007,4.2013,29-01-2020
4.2517,4.2523,30-01-2020
4.2689,4.2695,31-01-2020
4.2469,4.2475,03-02-2020
4.2375,4.2381,04-02-2020
4.2443,4.2449,05-02-2020
4.2471,4.2477,06-02-2020
4.3070,4.3076,07-02-2020
4.3189,4.3195,10-02-2020
4.3142,4.3148,11-02-2020
4.3360,4.3366,12-02-2020
4.3383,4.3389,13-02-2020
4.3157,4.3163,14-02-2020
4.3151,4.3157,17-02-2020
4.3465,4.3471,18-02-2020
4.3722,4.3728,19-02-2020
4.3867,4.3873,20-02-2020
4.3918,4.3924,21-02-2020
4.4353,4.4359,26-02-2020
4.4758,4.4764,27-02-2020
4.4981,4.4987,28-02-2020
4.4940,4.4946,02-03-2020
4.4877,4.4883,03-03-2020
4.5252,4.5258,04-03-2020
4.6201,4.6207,05-03-2020
4.6453,4.6459,06-03-2020
4.7373,4.7379,09-03-2020
4.6687,4.6693,10-03-2020
4.6732,4.6738,11-03-2020
4.8825,4.8833,12-03-2020
4.7355,4.7362,13-03-2020
4.9464,4.9471,16-03-2020
5.0489,5.0496,17-03-2020
5.1101,5.1107,18-03-2020
5.1437,5.1444,19-03-2020
5.0241,5.0248,20-03-2020
5.0798,5.0805,23-03-2020
5.0707,5.0713,24-03-2020
5.0700,5.0706,25-03-2020
5.0004,5.0010,26-03-2020
5.1103,5.1109,27-03-2020
5.1588,5.1594,30-03-2020
5.1981,5.1987,31-03-2020
5.2399,5.2404,01-04-2020
5.2645,5.2651,02-04-2020
5.2991,5.2997,03-04-2020
5.2465,5.2471,06-04-2020
5.2211,5.2217,07-04-2020
5.2117,5.2123,08-04-2020
5.0773,5.0779,09-04-2020
5.1818,5.1824,13-04-2020
5.1852,5.1858,14-04-2020
5.2573,5.2579,15-04-2020
5.2371,5.2377,16-04-2020
5.2567,5.2573,17-04-2020
5.2831,5.2837,20-04-2020
5.3841,5.3847,22-04-2020
5.4461,5.4467,23-04-2020
5.6504,5.6510,24-04-2020
5.6352,5.6358,27-04-2020
5.5677,5.5683,28-04-2020
5.4285,5.4291,29-04-2020
5.4264,5.4270,30-04-2020
5.5811,5.5816,04-05-2020
5.5348,5.5354,05-05-2020
5.6670,5.6676,06-05-2020
5.8359,5.8365,07-05-2020
5.7647,5.7653,08-05-2020
5.7948,5.7954,11-05-2020
5.7717,5.7723,12-05-2020
5.9016,5.9022,13-05-2020
5.9366,5.9372,14-05-2020
5.8223,5.8229,15-05-2020
5.7369,5.7375,18-05-2020
5.7210,5.7216,19-05-2020
5.6962,5.6968,20-05-2020
5.6013,5.6019,21-05-2020
5.5802,5.5808,22-05-2020
5.4766,5.4772,25-05-2020
5.3701,5.3707,26-05-2020
5.2986,5.2992,27-05-2020
5.3399,5.3405,28-05-2020
5.4257,5.4263,29-05-2020
5.3633,5.3639,01-06-2020
5.2595,5.2601,02-06-2020
5.0510,5.0516,03-06-2020
5.1035,5.1041,04-06-2020
4.9769,4.9775,05-06-2020
4.9325,4.9331,08-06-2020
4.9051,4.9057,09-06-2020
4.8888,4.8894,10-06-2020
5.0367,5.0373,12-06-2020
5.1877,5.1883,15-06-2020
5.1279,5.1285,16-06-2020
5.2492,5.2499,17-06-2020
5.3462,5.3468,18-06-2020
5.3460,5.3466,19-06-2020
5.2220,5.2226,22-06-2020
5.1699,5.1705,23-06-2020
5.2429,5.2435,24-06-2020
5.3281,5.3287,25-06-2020
5.4623,5.4629,26-06-2020
5.4410,5.4416,29-06-2020
5.4754,5.4760,30-06-2020
5.3646,5.3651,01-07-2020
5.3022,5.3028,02-07-2020
5.3368,5.3374,03-07-2020
5.3079,5.3085,06-07-2020
5.3312,5.3318,07-07-2020
5.3476,5.3482,08-07-2020
5.2972,5.2978,09-07-2020
5.3434,5.3440,10-07-2020
5.3480,5.3486,13-07-2020
5.4282,5.4288,14-07-2020
5.3485,5.3491,15-07-2020
5.3554,5.3560,16-07-2020
5.3504,5.3510,17-07-2020
5.3629,5.3635,20-07-2020
5.2277,5.2283,21-07-2020
5.1105,5.1111,22-07-2020
5.1641,5.1647,23-07-2020
5.2140,5.2146,24-07-2020
5.1883,5.1889,27-07-2020
5.1771,5.1777,28-07-2020
5.1389,5.1395,29-07-2020
5.1831,5.1837,30-07-2020
5.2027,5.2033,31-07-2020
5.3069,5.3075,03-08-2020
5.3323,5.3329,04-08-2020
5.2754,5.2760,05-08-2020
5.3425,5.3431,06-08-2020
5.4221,5.4227,07-08-2020
5.3927,5.3933,10-08-2020
5.4279,5.4285,11-08-2020
5.4545,5.4551,12-08-2020
5.3795,5.3801,13-08-2020
5.3846,5.3852,14-08-2020
5.4491,5.4497,17-08-2020
5.4653,5.4659,18-08-2020
5.4900,5.4906,19-08-2020
5.6504,5.6510,20-08-2020
5.6058,5.6064,21-08-2020
5.5948,5.5954,24-08-2020
5.5991,5.5997,25-08-2020
5.5674,5.5680,26-08-2020
5.5950,5.5956,27-08-2020
5.4673,5.4679,28-08-2020
5.4707,5.4713,31-08-2020
5.3726,5.3732,01-09-2020
5.3735,5.3741,02-09-2020
5.3073,5.3079,03-09-2020
5.2842,5.2848,04-09-2020
5.3692,5.3698,08-09-2020
5.3018,5.3024,09-09-2020
5.2930,5.2936,10-09-2020
5.2848,5.2854,11-09-2020
5.2978,5.2984,14-09-2020
5.2722,5.2728,15-09-2020
5.2526,5.2532,16-09-2020
5.2587,5.2593,17-09-2020
5.2883,5.2889,18-09-2020
5.4434,5.4440,21-09-2020
5.4323,5.4329,22-09-2020
5.5305,5.5311,23-09-2020
5.5708,5.5714,24-09-2020
5.5661,5.5667,25-09-2020
5.5852,5.5858,28-09-2020
5.6521,5.6528,29-09-2020
5.6401,5.6407,30-09-2020
5.6435,5.6441,01-10-2020
5.6458,5.6464,02-10-2020
5.6293,5.6299,05-10-2020
5.5199,5.5205,06-10-2020
5.6012,5.6018,07-10-2020
5.6194,5.6200,08-10-2020
5.5387,5.5393,09-10-2020
5.5854,5.5859,13-10-2020
5.5669,5.5675,14-10-2020
5.6166,5.6172,15-10-2020
5.6220,5.6226,16-10-2020
5.6017,5.6023,19-10-2020
5.5824,5.5830,20-10-2020
5.6000,5.6006,21-10-2020
5.5814,5.5820,22-10-2020
5.6114,5.6120,23-10-2020
5.6322,5.6328,26-10-2020
5.6484,5.6491,27-10-2020
5.7319,5.7325,28-10-2020
5.7797,5.7803,29-10-2020
5.7712,5.7718,30-10-2020
5.6889,5.6895,03-11-2020
5.6926,5.6932,04-11-2020
5.5618,5.5624,05-11-2020
5.5307,5.5313,06-11-2020
5.2815,5.2821,09-11-2020
5.3690,5.3696,10-11-2020
5.4014,5.4020,11-11-2020
5.4088,5.4094,12-11-2020
5.4848,5.4854,13-11-2020
5.4192,5.4198,16-11-2020
5.3962,5.3968,17-11-2020
5.2926,5.2932,18-11-2020
5.3324,5.3330,19-11-2020
5.3499,5.3505,20-11-2020
5.3822,5.3828,23-11-2020
5.4031,5.4037,24-11-2020
5.3502,5.3508,25-11-2020
5.3195,5.3201,26-11-2020
5.3488,5.3494,27-11-2020
5.3311,5.3317,30-11-2020
5.2783,5.2789,01-12-2020
5.2261,5.2267,02-12-2020
5.1619,5.1625,03-12-2020
5.1700,5.1706,04-12-2020
5.1012,5.1018,07-12-2020
5.0914,5.0920,08-12-2020
5.1103,5.1109,09-12-2020
5.0846,5.0852,10-12-2020
5.0685,5.0691,11-12-2020
5.0572,5.0578,14-12-2020
5.0962,5.0968,15-12-2020
5.1051,5.1057,16-12-2020
5.0606,5.0612,17-12-2020
5.0980,5.0986,18-12-2020
5.1566,5.1572,21-12-2020
5.1467,5.1473,22-12-2020
5.1734,5.1740,23-12-2020
5.1785,5.1800,24-12-2020
5.2384,5.2390,28-12-2020
5.1936,5.1942,29-12-2020
5.1961,5.1967,30-12-2020
5.1961,5.1967,31-12-2020
