Mês;Média Compra;Média Venda
Janeiro;5.3556;5.3562
Fevereiro;5.4159;5.4165
Março;5.6455;5.6461
Abril;5.5615;5.5621
Maio;5.2904;5.2911
Junho;5.0313;5.0319
Julho;5.1560;5.1567
Agosto;5.2511;5.2517
Setembro;5.2791;5.2797
Outubro;5.5394;5.5400
Novembro;5.5563;5.5569
Dezembro;5.6506;5.6514
