Mês;Média Compra;Média Venda
Janeiro;6.0212;6.0218
Fevereiro;5.7650;5.7656
Março;5.7462;5.7468
Abril;5.7785;5.7791
Maio;5.6668;5.6674
Junho;5.5465;5.5471
Julho;5.4433;5.4439
