Mês;Média Compra;Média Venda
Janeiro;4.1489;4.1495
Fevereiro;4.3404;4.3410
Março;4.8832;4.8839
Abril;5.3250;5.3256
Maio;5.6429;5.6434
Junho;5.1960;5.1966
Julho;5.2796;5.2802
Agosto;5.4606;5.4612
Setembro;5.3989;5.3995
Outubro;5.6252;5.6258
Novembro;5.4172;5.4178
Dezembro;5.1449;5.1456
