Mês;Média Compra;Média Venda
Janeiro;5.2001;5.2007
Fevereiro;5.1711;5.1717
Março;5.2109;5.2115
Abril;5.0191;5.0197
Maio;4.9822;4.9828
Junho;4.8510;4.8516
Julho;4.8002;4.8008
Agosto;4.9029;4.9035
Setembro;4.9364;4.9370
Outubro;5.0642;5.0648
Novembro;4.8977;4.8983
Dezembro;4.8966;4.8972
