cotacaoCompra;cotacaoVenda;dataHoraCotacao
6.2080,6.2086,02-01-2025
6.1557,6.1563,03-01-2025
6.1113,6.1119,06-01-2025
6.0735,6.0741,07-01-2025
6.1315,6.1321,08-01-2025
6.0890,6.0896,09-01-2025
6.0959,6.0965,10-01-2025
6.1073,6.1079,13-01-2025
6.0665,6.0671,14-01-2025
6.0371,6.0377,15-01-2025
6.0316,6.0322,16-01-2025
6.0603,6.0609,17-01-2025
6.0492,6.0498,20-01-2025
6.0434,6.0440,21-01-2025
5.9668,5.9674,22-01-2025
5.9393,5.9399,23-01-2025
5.8919,5.8925,24-01-2025
5.9266,5.9272,27-01-2025
5.8924,5.8930,28-01-2025
5.8590,5.8596,29-01-2025
5.9000,5.9006,30-01-2025
5.8295,5.8301,31-01-2025
5.8681,5.8687,03-02-2025
5.7921,5.7927,04-02-2025
5.7991,5.7997,05-02-2025
5.7850,5.7856,06-02-2025
5.7551,5.7557,07-02-2025
5.7802,5.7808,10-02-2025
5.7782,5.7788,11-02-2025
5.7705,5.7711,12-02-2025
5.7782,5.7788,13-02-2025
5.7277,5.7283,14-02-2025
5.7099,5.7105,17-02-2025
5.6973,5.6979,18-02-2025
5.7081,5.7087,19-02-2025
5.7013,5.7019,20-02-2025
5.7021,5.7027,21-02-2025
5.7252,5.7258,24-02-2025
5.7773,5.7779,25-02-2025
5.7751,5.7757,26-02-2025
5.8222,5.8228,27-02-2025
5.8482,5.8488,28-02-2025
5.7908,5.7914,05-03-2025
5.7483,5.7489,06-03-2025
5.7682,5.7688,07-03-2025
5.7924,5.7930,10-03-2025
5.8341,5.8346,11-03-2025
5.8262,5.8268,12-03-2025
5.8125,5.8131,13-03-2025
5.7413,5.7419,14-03-2025
5.7076,5.7082,17-03-2025
5.6846,5.6852,18-03-2025
5.6651,5.6657,19-03-2025
5.6622,5.6628,20-03-2025
5.7235,5.7241,21-03-2025
5.7397,5.7403,24-03-2025
5.6986,5.6992,25-03-2025
5.7292,5.7298,26-03-2025
5.7468,5.7474,27-03-2025
5.7654,5.7660,28-03-2025
5.7416,5.7422,31-03-2025
5.7045,5.7051,01-04-2025
5.6918,5.6923,02-04-2025
5.6062,5.6067,03-04-2025
5.7771,5.7777,04-04-2025
5.8871,5.8877,07-04-2025
5.9362,5.9368,08-04-2025
6.0599,6.0605,09-04-2025
5.9109,5.9115,10-04-2025
5.8731,5.8737,11-04-2025
5.8419,5.8425,14-04-2025
5.8701,5.8707,15-04-2025
5.8802,5.8808,16-04-2025
5.8553,5.8559,17-04-2025
5.7490,5.7496,22-04-2025
5.6874,5.6880,23-04-2025
5.6874,5.6880,23-04-2025
5.6732,5.6738,24-04-2025
5.6840,5.6846,25-04-2025
5.6675,5.6681,28-04-2025
5.6461,5.6467,29-04-2025
5.6602,5.6608,30-04-2025
5.6388,5.6394,02-05-2025
5.6514,5.6520,05-05-2025
5.7204,5.7210,06-05-2025
5.7368,5.7375,07-05-2025
5.6854,5.6860,08-05-2025
5.6505,5.6511,09-05-2025
5.6816,5.6822,12-05-2025
5.6256,5.6262,13-05-2025
5.6094,5.6100,14-05-2025
5.6322,5.6328,15-05-2025
5.6919,5.6925,16-05-2025
5.6585,5.6591,19-05-2025
5.6614,5.6620,20-05-2025
5.6565,5.6571,21-05-2025
5.6384,5.6390,22-05-2025
5.6926,5.6932,23-05-2025
5.6613,5.6619,26-05-2025
5.6533,5.6539,27-05-2025
5.6930,5.6936,28-05-2025
5.6553,5.6559,29-05-2025
5.7081,5.7087,30-05-2025
5.6931,5.6937,02-06-2025
5.6688,5.6694,03-06-2025
5.6326,5.6332,04-06-2025
5.5963,5.5969,05-06-2025
5.5941,5.5947,06-06-2025
5.5754,5.5760,09-06-2025
5.5551,5.5557,10-06-2025
5.5384,5.5390,11-06-2025
5.5382,5.5388,12-06-2025
5.5646,5.5652,13-06-2025
5.5117,5.5123,16-06-2025
5.4767,5.4773,17-06-2025
5.4873,5.4879,18-06-2025
5.4951,5.4957,20-06-2025
5.5207,5.5213,23-06-2025
5.4932,5.4938,24-06-2025
5.5421,5.5427,25-06-2025
5.5139,5.5145,26-06-2025
5.4753,5.4759,27-06-2025
5.4565,5.4571,30-06-2025
5.4505,5.4511,01-07-2025
5.4506,5.4512,02-07-2025
5.4202,5.4208,03-07-2025
5.4084,5.4090,04-07-2025
5.4546,5.4552,07-07-2025
5.4565,5.4571,08-07-2025
5.4620,5.4626,09-07-2025
