cotacaoCompra;cotacaoVenda;dataHoraCotacao
4.8910,4.8916,02-01-2024
4.9206,4.9212,03-01-2024
4.9182,4.9188,04-01-2024
4.8893,4.8899,05-01-2024
4.8844,4.8850,08-01-2024
4.8931,4.8937,09-01-2024
4.8895,4.8901,10-01-2024
4.8788,4.8794,11-01-2024
4.8537,4.8543,12-01-2024
4.8759,4.8765,15-01-2024
4.9032,4.9038,16-01-2024
4.9340,4.9346,17-01-2024
4.9397,4.9403,18-01-2024
4.9217,4.9223,19-01-2024
4.9484,4.9490,22-01-2024
4.9709,4.9715,23-01-2024
4.9186,4.9192,24-01-2024
4.9226,4.9232,25-01-2024
4.9119,4.9125,26-01-2024
4.9219,4.9225,29-01-2024
4.9632,4.9638,30-01-2024
4.9529,4.9535,31-01-2024
4.9344,4.9350,01-02-2024
4.9465,4.9471,02-02-2024
5.0047,5.0053,05-02-2024
4.9681,4.9687,06-02-2024
4.9602,4.9608,07-02-2024
4.9798,4.9804,08-02-2024
4.9711,4.9717,09-02-2024
4.9717,4.9723,14-02-2024
4.9704,4.9710,15-02-2024
4.9755,4.9761,16-02-2024
4.9579,4.9585,19-02-2024
4.9402,4.9408,20-02-2024
4.9297,4.9303,21-02-2024
4.9413,4.9419,22-02-2024
4.9845,4.9851,23-02-2024
4.9813,4.9819,26-02-2024
4.9569,4.9575,27-02-2024
4.9551,4.9557,28-02-2024
4.9827,4.9833,29-02-2024
4.9590,4.9596,01-03-2024
4.9469,4.9475,04-03-2024
4.9482,4.9488,05-03-2024
4.9392,4.9398,06-03-2024
4.9358,4.9364,07-03-2024
4.9745,4.9751,08-03-2024
4.9771,4.9777,11-03-2024
4.9807,4.9813,12-03-2024
4.9797,4.9803,13-03-2024
4.9762,4.9768,14-03-2024
4.9931,4.9937,15-03-2024
5.0118,5.0124,18-03-2024
5.0346,5.0352,19-03-2024
5.0114,5.0120,20-03-2024
4.9801,4.9807,21-03-2024
4.9891,4.9897,22-03-2024
4.9863,4.9869,25-03-2024
4.9864,4.9870,26-03-2024
4.9850,4.9856,27-03-2024
4.9956,4.9962,28-03-2024
