cotacaoCompra;cotacaoVenda;dataHoraCotacao
5.3430,5.3436,02-01-2023
5.3753,5.3759,03-01-2023
5.4453,5.4459,04-01-2023
5.4020,5.4026,05-01-2023
5.2849,5.2855,06-01-2023
5.2961,5.2967,09-01-2023
5.2389,5.2395,10-01-2023
5.2014,5.2020,11-01-2023
5.1394,5.1400,12-01-2023
5.1140,5.1146,13-01-2023
5.1109,5.1115,16-01-2023
5.1197,5.1203,17-01-2023
5.0903,5.0909,18-01-2023
5.2138,5.2144,19-01-2023
5.1980,5.1986,20-01-2023
5.1916,5.1922,23-01-2023
5.1690,5.1696,24-01-2023
5.1036,5.1042,25-01-2023
5.0945,5.0951,26-01-2023
5.0761,5.0767,27-01-2023
5.0953,5.0959,30-01-2023
5.0987,5.0993,31-01-2023
5.0715,5.0721,01-02-2023
4.9895,4.9901,02-02-2023
5.1024,5.1030,03-02-2023
5.1757,5.1763,06-02-2023
5.1689,5.1695,07-02-2023
5.2030,5.2036,08-02-2023
5.2309,5.2315,09-02-2023
5.2520,5.2526,10-02-2023
5.1828,5.1834,13-02-2023
5.1501,5.1507,14-02-2023
5.2237,5.2243,15-02-2023
5.2426,5.2432,16-02-2023
5.2006,5.2012,17-02-2023
5.1724,5.1730,22-02-2023
5.1324,5.1330,23-02-2023
5.1785,5.1791,24-02-2023
5.1954,5.1960,27-02-2023
5.2072,5.2078,28-02-2023
5.2064,5.2070,01-03-2023
5.2074,5.2080,02-03-2023
5.2031,5.2037,03-03-2023
5.1964,5.1970,06-03-2023
5.1895,5.1901,07-03-2023
5.1381,5.1387,08-03-2023
5.1347,5.1353,09-03-2023
5.1816,5.1822,10-03-2023
5.2394,5.2400,13-03-2023
5.2356,5.2362,14-03-2023
5.2975,5.2981,15-03-2023
5.2886,5.2892,16-03-2023
5.2673,5.2679,17-03-2023
5.2461,5.2467,20-03-2023
5.2438,5.2444,21-03-2023
5.2642,5.2648,22-03-2023
5.2626,5.2632,23-03-2023
5.2915,5.2921,24-03-2023
5.2300,5.2306,27-03-2023
5.1727,5.1733,28-03-2023
5.1487,5.1493,29-03-2023
5.1248,5.1254,30-03-2023
5.0798,5.0804,31-03-2023
5.0631,5.0637,03-04-2023
5.0756,5.0762,04-04-2023
5.0441,5.0447,05-04-2023
5.0677,5.0683,06-04-2023
5.0828,5.0834,10-04-2023
5.0122,5.0128,11-04-2023
4.9490,4.9496,12-04-2023
4.9091,4.9097,13-04-2023
4.9449,4.9455,14-04-2023
4.9415,4.9421,17-04-2023
4.9672,4.9678,18-04-2023
5.0461,5.0467,19-04-2023
5.0491,5.0497,20-04-2023
5.0589,5.0595,24-04-2023
5.0607,5.0613,25-04-2023
5.0579,5.0585,26-04-2023
5.0144,5.0150,27-04-2023
5.0001,5.0007,28-04-2023
5.0329,5.0334,02-05-2023
5.0221,5.0227,03-05-2023
5.0100,5.0106,04-05-2023
4.9690,4.9696,05-05-2023
4.9690,4.9696,08-05-2023
5.0001,5.0007,09-05-2023
4.9541,4.9547,10-05-2023
4.9690,4.9696,11-05-2023
4.9228,4.9234,12-05-2023
4.9097,4.9103,15-05-2023
4.9116,4.9122,16-05-2023
4.9507,4.9513,17-05-2023
