Mês;Média Compra;Média Venda
Janeiro;5.5335;5.5341
Fevereiro;5.1960;5.1966
Março;4.9678;4.9684
Abril;4.7574;4.7580
Maio;4.9544;4.9550
Junho;5.0486;5.0492
Julho;5.3675;5.3681
Agosto;5.1427;5.1433
Setembro;5.2364;5.2370
Outubro;5.2497;5.2503
Novembro;5.2741;5.2747
Dezembro;5.2418;5.2424
